x,y,value,group,label,facet,source,target,weight,lower,upper
45.0,28.5,28.5,,item_128,,45.0,28.5,28.5,-52.10307080516668,109.10307080516668
2.0,0.4,0.4,,item_129,,2.0,0.4,0.4,-80.20307080516667,81.00307080516669
44.3,37.2,37.2,,item_130,,44.3,37.2,37.2,-43.40307080516668,117.80307080516668
16.0,13.7,13.7,,item_131,,16.0,13.7,13.7,-66.90307080516668,94.30307080516668
23.9,10.7,10.7,,item_132,,23.9,10.7,10.7,-69.90307080516668,91.30307080516668
57.6,34.2,34.2,,item_133,,57.6,34.2,34.2,-46.40307080516668,114.80307080516668
345.0,15.9,15.9,,item_134,,345.0,15.9,15.9,-64.70307080516667,96.50307080516669
40.0,23.2,23.2,,item_135,,40.0,23.2,23.2,-57.40307080516668,103.80307080516668
2.0,1.1,1.1,,item_136,,2.0,1.1,1.1,-79.50307080516669,81.70307080516667
38.8,0.2,0.2,,item_137,,38.8,0.2,0.2,-80.40307080516668,80.80307080516668
43.6,41.3,41.3,,item_138,,43.6,41.3,41.3,-39.30307080516668,121.90307080516668
280.1,8.2,8.2,,item_139,,280.1,8.2,8.2,-72.40307080516668,88.80307080516668
0.1,0.7,0.7,,item_140,,0.1,0.7,0.7,-79.90307080516668,81.30307080516668
52.1,46.8,46.8,,item_141,,52.1,46.8,46.8,-33.80307080516668,127.40307080516668
26.5,32.1,32.1,,item_142,,26.5,32.1,32.1,-48.50307080516668,112.70307080516667
17.0,9.1,9.1,,item_143,,17.0,9.1,9.1,-71.50307080516669,89.70307080516667
0.9,0.0,0.0,,item_144,,0.9,0.0,0.0,-80.60307080516668,80.60307080516668
1.4,1.0,1.0,,item_145,,1.4,1.0,1.0,-79.60307080516668,81.60307080516668
13.7,6.0,6.0,,item_146,,13.7,6.0,6.0,-74.60307080516668,86.60307080516668
16.3,13.4,13.4,,item_147,,16.3,13.4,13.4,-67.20307080516667,94.00307080516669
12.0,1.9,1.9,,item_148,,12.0,1.9,1.9,-78.70307080516667,82.50307080516669
21.7,11.6,11.6,,item_149,,21.7,11.6,11.6,-69.00307080516669,92.20307080516667
0.0,0.0,0.0,,item_150,,0.0,0.0,0.0,-80.60307080516668,80.60307080516668
19.5,13.7,13.7,,item_151,,19.5,13.7,13.7,-66.90307080516668,94.30307080516668
12.8,6.3,6.3,,item_152,,12.8,6.3,6.3,-74.30307080516668,86.90307080516668
11.8,1.8,1.8,,item_153,,11.8,1.8,1.8,-78.80307080516668,82.40307080516668
252.5,136.8,136.8,,item_154,,252.5,136.8,136.8,56.19692919483333,217.4030708051667
0.7,0.2,0.2,,item_155,,0.7,0.2,0.2,-80.40307080516668,80.80307080516668
2.5,0.1,0.1,,item_156,,2.5,0.1,0.1,-80.50307080516669,80.70307080516667
0.0,0.0,0.0,,item_157,,0.0,0.0,0.0,-80.60307080516668,80.60307080516668
27.0,3.3,3.3,,item_158,,27.0,3.3,3.3,-77.30307080516668,83.90307080516668
119.1,119.5,119.5,,item_159,,119.1,119.5,119.5,38.89692919483332,200.10307080516668
0.0,0.0,0.0,,item_160,,0.0,0.0,0.0,-80.60307080516668,80.60307080516668
14.7,19.1,19.1,,item_161,,14.7,19.1,19.1,-61.50307080516668,99.70307080516667
113.7,109.7,109.7,,item_162,,113.7,109.7,109.7,29.096929194833322,190.30307080516667
10.9,3.0,3.0,,item_163,,10.9,3.0,3.0,-77.60307080516668,83.60307080516668
0.9,0.3,0.3,,item_164,,0.9,0.3,0.3,-80.30307080516668,80.90307080516668
78.6,104.0,104.0,,item_165,,78.6,104.0,104.0,23.39692919483332,184.60307080516668
66.8,107.7,107.7,,item_166,,66.8,107.7,107.7,27.096929194833322,188.30307080516667
85.7,111.8,111.8,,item_167,,85.7,111.8,111.8,31.196929194833317,192.4030708051667
16.4,27.2,27.2,,item_168,,16.4,27.2,27.2,-53.40307080516668,107.80307080516668
8.8,4.2,4.2,,item_169,,8.8,4.2,4.2,-76.40307080516668,84.80307080516668
55.3,44.0,44.0,,item_170,,55.3,44.0,44.0,-36.60307080516668,124.60307080516668
343.1,112.0,112.0,,item_171,,343.1,112.0,112.0,31.39692919483332,192.60307080516668
22.8,27.2,27.2,,item_172,,22.8,27.2,27.2,-53.40307080516668,107.80307080516668
